ZCTA5CE10,city,latitude,longitude,Area,Affect_area,pct,pop,household,affect
89439,Verdi,39.523693,-120.03012,9402.653026783131,None Affected,None Affect,1417,718,No
90001,Los Angeles,33.972914,-118.24878,2243.8269364804255,None Affected,None Affect,57110,13788,No
90002,Los Angeles,33.948315,-118.24845,1969.378762206362,None Affected,None Affect,51223,12598,No
90003,Los Angeles,33.962714,-118.276,2270.4547939565127,None Affected,None Affect,66266,17127,No
90004,Los Angeles,34.07711,-118.30755,1955.0341472165114,None Affected,None Affect,62180,24278,No
90005,Los Angeles,34.058911,-118.30848,688.4772718116369,None Affected,None Affect,37681,16345,No
90006,Los Angeles,34.048351,-118.2943,1226.6103412134419,None Affected,None Affect,59185,20332,No
90007,Los Angeles,34.026448,-118.2829,1578.169339580783,None Affected,None Affect,40920,12762,No
90008,Los Angeles,34.009754,-118.33705,2370.0811969822576,None Affected,None Affect,32327,15006,No
90009,Los Angeles,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90010,Los Angeles,34.062709,-118.31481,296.55433761245513,None Affected,None Affect,3800,2382,No
90011,Los Angeles,34.007063,-118.25868,2747.3052417624076,None Affected,None Affect,103892,23547,No
90012,Los Angeles,34.061611,-118.23944,2115.1227932647575,None Affected,None Affect,31103,11370,No
90013,Los Angeles,34.044662,-118.24255,449.01532509594546,None Affected,None Affect,11772,7516,No
90014,Los Angeles,34.042912,-118.25193,187.64299279963836,None Affected,None Affect,7005,4990,No
90015,Los Angeles,34.038993,-118.26516,1083.7838997746583,None Affected,None Affect,18986,8245,No
90016,Los Angeles,34.029711,-118.35255,2318.5275576034096,None Affected,None Affect,47596,17204,No
90017,Los Angeles,34.052561,-118.26434,467.31837739819815,None Affected,None Affect,23768,10610,No
90018,Los Angeles,34.029112,-118.3183,1849.1181770200394,None Affected,None Affect,49310,16658,No
90019,Los Angeles,34.048411,-118.34015,2489.7722896742202,None Affected,None Affect,64458,25116,No
90020,Los Angeles,34.06646,-118.30863,723.3273032918449,None Affected,None Affect,38967,17900,No
90021,Los Angeles,34.029313,-118.24182,1343.1965399756298,None Affected,None Affect,3951,1761,No
90022,Los Angeles,34.023662,-118.15581,2805.8555782934195,None Affected,None Affect,67179,17713,No
90023,Los Angeles,34.023039,-118.20231,2726.7631964351167,None Affected,None Affect,45903,11259,No
90024,Los Angeles,34.063209,-118.43643,1878.7453088074883,None Affected,None Affect,47452,19932,No
90025,Los Angeles,34.045006,-118.44527,1637.4317960086057,None Affected,None Affect,42147,23058,No
90026,Los Angeles,34.07851,-118.26596,2760.849728496766,None Affected,None Affect,67869,26686,No
90027,Los Angeles,34.111208,-118.28842,5292.591241725994,None Affected,None Affect,45151,23390,No
90028,Los Angeles,34.098859,-118.32745,960.8824774562456,None Affected,None Affect,28714,17126,No
90029,Los Angeles,34.090259,-118.29455,867.4154311247828,None Affected,None Affect,38617,14723,No
90030,Los Angeles,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90031,Los Angeles,34.07871,-118.2161,2234.4282399705316,None Affected,None Affect,39316,11903,No
90032,Los Angeles,34.08166,-118.17568,3067.7109677442377,None Affected,None Affect,45786,13521,No
90033,Los Angeles,34.050411,-118.21195,2109.921528426476,None Affected,None Affect,48852,13690,No
90034,Los Angeles,34.03056,-118.39804,1993.809782525637,None Affected,None Affect,57964,27210,No
90035,Los Angeles,34.05266,-118.38531,1324.1854196025029,None Affected,None Affect,28418,14030,No
90036,Los Angeles,34.07036,-118.34926,1582.4308377824639,None Affected,None Affect,36865,19920,No
90037,Los Angeles,34.002063,-118.28737,1817.1465039807877,None Affected,None Affect,62276,17192,No
90038,Los Angeles,34.089459,-118.3285,1001.4477148354255,None Affected,None Affect,28917,12812,No
90039,Los Angeles,34.110425,-118.25832,2542.6679370155175,None Affected,None Affect,28514,12127,No
90040,Los Angeles,33.997492,-118.15284,3567.153699123187,None Affected,None Affect,12520,3397,No
90041,Los Angeles,34.137557,-118.20765,2309.1951583674854,None Affected,None Affect,27425,9998,No
90042,Los Angeles,34.114558,-118.19233,3003.8889085851233,None Affected,None Affect,62430,21018,No
90043,Los Angeles,33.987463,-118.334,2649.5640249298463,None Affected,None Affect,44789,17172,No
90044,Los Angeles,33.953814,-118.29158,3285.0693531984475,None Affected,None Affect,89779,27479,No
90045,Los Angeles,33.960041,-118.3949,6859.59663992381,None Affected,None Affect,39480,16127,No
90046,Los Angeles,34.098908,-118.36241,3712.0890783385667,None Affected,None Affect,48581,30688,No
90047,Los Angeles,33.958464,-118.30998,3025.5579678911367,None Affected,None Affect,48606,17150,No
90048,Los Angeles,34.073759,-118.37376,1210.6581107602096,None Affected,None Affect,21397,12939,No
90049,Los Angeles,34.067409,-118.47528,9622.502410857574,None Affected,None Affect,35482,18097,No
90050,Los Angeles,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90051,Los Angeles,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90052,Los Angeles,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90053,Los Angeles,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90054,Los Angeles,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90055,Los Angeles,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90056,Los Angeles,33.986212,-118.37099,1014.8317130075225,None Affected,None Affect,7827,3518,No
90057,Los Angeles,34.061911,-118.27687,570.086645208083,None Affected,None Affect,44998,17247,No
90058,Los Angeles,34.000219,-118.22605,3871.2681598979284,None Affected,None Affect,3223,921,No
90059,Los Angeles,33.927471,-118.24778,2126.950530852649,None Affected,None Affect,40952,10617,No
90060,Los Angeles,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90061,Los Angeles,33.923365,-118.27591,1700.745369754711,None Affected,None Affect,26872,7385,No
90062,Los Angeles,34.003213,-118.3078,1235.2084284131286,None Affected,None Affect,32821,9795,No
90063,Los Angeles,34.045161,-118.1865,2094.963065296791,None Affected,None Affect,55758,14012,No
90064,Los Angeles,34.03457,-118.42843,2570.520044487681,None Affected,None Affect,25403,11540,No
90065,Los Angeles,34.107559,-118.22663,3388.713164985671,None Affected,None Affect,45527,15288,No
90066,Los Angeles,34.002011,-118.43083,3182.4144332370715,None Affected,None Affect,55277,25319,No
90067,Los Angeles,34.056709,-118.41183,210.47112669828135,None Affected,None Affect,2424,1808,No
90068,Los Angeles,34.122058,-118.3379,5068.342532796286,None Affected,None Affect,22286,13901,No
90069,West Hollywood,34.090975,-118.3813,1353.5305438253176,None Affected,None Affect,20483,14781,No
90070,Los Angeles,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90071,Los Angeles,34.052709,-118.2559,73.77422792525063,None Affected,None Affect,15,0,No
90072,Los Angeles,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90073,Los Angeles,33.786594,-118.298662,214.738916661352,None Affected,None Affect,539,4,No
90074,Los Angeles,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90075,Los Angeles,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90076,Los Angeles,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90077,Los Angeles,34.101007,-118.45077,4773.984553616594,None Affected,None Affect,9377,3888,No
90078,Los Angeles,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90079,Los Angeles,33.786594,-118.298662,6.411080927658711,None Affected,None Affect,0,0,No
90080,Los Angeles,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90081,Los Angeles,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90082,Los Angeles,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90083,Los Angeles,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90084,Los Angeles,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90086,Los Angeles,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90087,Los Angeles,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90088,Los Angeles,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90089,Los Angeles,33.786594,-118.298662,181.43047204250965,None Affected,None Affect,3217,31,No
90090,Dodgertown,34.07,-118.24,143.78876648812175,None Affected,None Affect,0,0,No
90091,Los Angeles,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90093,Los Angeles,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
